category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale,sale_valid_to
bakery,President's Choice,Banana Chocolate Chip Mini Muffins,President's ChoiceBanana Chocolate Chip Mini Muffins336 g,$4.50ea,,$1.34/ 100g,False,
bakery,Charlottes,Black Forest Cake,CharlottesBlack Forest Cake400 g,$5.00ea,,$1.25/ 100g,False,
bakery,Villa Di Manno,Bread Crumbs,Villa Di MannoBread Crumbs300 g,$2.99ea,,$1.00/ 100g,False,
bakery,Villa Di Manno,Cheese Buns,Villa Di MannoCheese Buns352 g,$3.29ea,,$0.93/ 100g,False,
bakery,Dels,"Mini Strudel, Apple & Raspberry","DelsMini Strudel, Apple & Raspberry792 g",$5.99ea,,$0.76/ 100g,False,
bakery,Farmer's Market,"Sliced Loaf Cake, Marble","Farmer's MarketSliced Loaf Cake, Marble420 g",$5.00ea,,$1.19/ 100g,False,
bakery,Crispy,Pound Cake     ,CrispyPound Cake     0.368 kg,$3.99ea,,$1.08/ 100g,False,
bakery,,"8"" Lemon Meringue Pie","8"" Lemon Meringue Pie635 g",$6.00ea,,$0.94/ 100g,False,
bakery,President's Choice,Carrot Mini Muffins,President's ChoiceCarrot Mini Muffins336 g,$4.50ea,,$1.34/ 100g,False,
bakery,Farmer's Market,"Loaf Cake, Golden","Farmer's MarketLoaf Cake, Golden390 g",$4.50ea,,$1.15/ 100g,False,
bakery,Dempster,Malt Bread,DempsterMalt Bread340 g,$3.99ea,,$1.17/ 100g,False,
bakery,Farmer's Market,Butter Croissants Mini,Farmer's MarketButter Croissants Mini336 g,$5.00ea,,$1.49/ 100g,False,
bakery,Dimpflmeier,Whole Wheat Bread European Style,DimpflmeierWhole Wheat Bread European Style680 g,$3.99ea,,$0.59/ 100g,False,
bakery,Farmer's Market,Oatmeal & Chocolate Cookies,Farmer's MarketOatmeal & Chocolate Cookies456 g,$5.00ea,,$1.10/ 100g,False,
bakery,Dimpflmeier,Pumpernickel Bread,DimpflmeierPumpernickel Bread454 g,$4.29ea,,$0.94/ 100g,False,
