category,brand,product,product_name,price,per_unit_price
bakery,ACE,Ciabatta Cluster,ACECiabatta Cluster400 g,$3.79ea,$0.95/ 100g
bakery,,Macarons Assorted Pk 6,Macarons Assorted Pk 696 g,$5.99ea,$6.24/ 100g
bakery,LA FOURNEE DOREE,Sesame Brioche Burger Buns,LA FOURNEE DOREESesame Brioche Burger Buns200 g,$4.29ea,$2.15/ 100g
bakery,ACE,Ciabatta Cluster,ACECiabatta Cluster400 g,$3.79ea,$0.95/ 100g
bakery,,All Butter Chocolatine 4 pack,All Butter Chocolatine 4 pack248 g,$3.99ea,$1.61/ 100g
bakery,No Name,English Muffin Whole Wheat,No NameEnglish Muffin Whole Wheat342 g,$2.89ea,$0.85/ 100g
bakery,,Buns Kaiser 2 Pack,Buns Kaiser 2 Pack117 g,$1.59ea,$1.36/ 100g
bakery,President's Choice,Italian Style Bread Crumbs,President's ChoiceItalian Style Bread Crumbs275 g,$1.99ea,$0.72/ 100g
bakery,,Bulk Ts Donut,Bulk Ts Donut100 g,$1.89ea,$1.89/ 100g
bakery,Promise Gluten Free,Hamburger Buns Authentic Brioche,Promise Gluten FreeHamburger Buns Authentic Brioche260 g,$6.99ea,$2.69/ 100g
bakery,Frontier Bakery,Thick Pouch White Bread Pitas,Frontier BakeryThick Pouch White Bread Pitas425 g,$1.59ea,$0.37/ 100g
bakery,President's Choice,Chocolate Chip Mini Muffins,President's ChoiceChocolate Chip Mini Muffins336 g,$5.69ea,$1.69/ 100g
bakery,Lanthier,Hot Dog Buns,LanthierHot Dog Buns16x385.0 g,$4.29ea,$1.11/ 100g
bakery,,Macarons Assorted Pk 6,Macarons Assorted Pk 696 g,$5.99ea,$6.24/ 100g
bakery,,All Butter Almondine Rolls,All Butter Almondine Rolls255 g,$3.99ea,$1.16/ 100g
bakery,Frontier Bakery,Lebanese Style Whole Wheat Pita,Frontier BakeryLebanese Style Whole Wheat Pita330 g,$1.39ea,$0.42/ 100g
bakery,,Cheese Swirl Buns 4 Pack,Cheese Swirl Buns 4 Pack400 g,$5.79ea,$1.45/ 100g
bakery,Dimpflmeier,100% Rye Bread With Flaxseeds,Dimpflmeier100% Rye Bread With Flaxseeds454 g,$4.79ea,$1.06/ 100g
bakery,Furlani,Frozen Texas Toast Garlic,FurlaniFrozen Texas Toast Garlic16x40.0 g,$4.69ea,$0.73/ 100g
bakery,,"Blueberry Pie, 8 Inch","Blueberry Pie, 8 Inch680 g",$5.99ea,$0.88/ 100g
bakery,,Submarine Buns 4 Pack,Submarine Buns 4 Pack464 g,$2.79ea,$2.15/ 100g
bakery,,"7 Grain Bread, Sliced","7 Grain Bread, Sliced570 g",$3.99ea,$0.89/ 100g
bakery,President's Choice,Brioche Mini Rolls,President's ChoiceBrioche Mini Rolls400 g,$5.49ea,$1.37/ 100g
bakery,Dempster,Fresh White Bread,DempsterFresh White Bread675 g,$3.49ea,$0.52/ 100g
bakery,Farmer's Market,Fruitck Dark Pecan Topped,Farmer's MarketFruitck Dark Pecan Topped500 g,$8.99ea,$1.80/ 100g
bakery,Baxters,Vanilla Raspberry Cream,BaxtersVanilla Raspberry Cream6x67.0 g,$5.49ea,$1.37/ 100g
bakery,President's Choice,Mini Naan Garlic 4 Flatbreads,President's ChoiceMini Naan Garlic 4 Flatbreads180 g,$3.29ea,$1.83/ 100g
bakery,two-bite,Christmas Mini Cupcakes Vanilla Pack Of 12,two-biteChristmas Mini Cupcakes Vanilla Pack Of 12284 g,$4.99ea,$1.76/ 100g
bakery,Farmer's Market,Cinnamon Coffee Cake,Farmer's MarketCinnamon Coffee Cake500 g,$6.00ea,$1.20/ 100g
bakery,President's Choice,"Tramezzini Crustless Bread, White","President's ChoiceTramezzini Crustless Bread, White250 g",$2.39ea,$0.96/ 100g
bakery,No Name,Bagel Whole Wheat,No NameBagel Whole Wheat510 g,$2.89ea,$0.57/ 100g
bakery,Sha Sha,Ginger Snap Cookies,Sha ShaGinger Snap Cookies300x300.0 g,$7.49ea,$2.50/ 100g
bakery,,"White Bread, Sliced","White Bread, Sliced450 g",$2.99ea,$0.66/ 100g
bakery,President's Choice,Sourdough Loaf,President's ChoiceSourdough Loaf500 g,$3.59ea,$0.72/ 100g
bakery,President's Choice,Brioche Loaf,President's ChoiceBrioche Loaf400 g,$5.49ea,$1.37/ 100g
bakery,Poppers,Wheat Popped Grains,PoppersWheat Popped Grains120 g,$4.99ea,$4.16/ 100g
bakery,DItaliano,Brizzolio Bread,DItalianoBrizzolio Bread600 g,$3.99ea,$0.67/ 100g
bakery,Poppers,Popped Grains Corn Minis,PoppersPopped Grains Corn Minis45 g,$3.99ea,$8.87/ 100g
bakery,,"Pumpernickel Bread, Sliced","Pumpernickel Bread, Sliced675 g",$4.79ea,$0.71/ 100g
bakery,Farmer's Market,Chocolate Cake,Farmer's MarketChocolate Cake490 g,$6.99ea,$1.43/ 100g
bakery,President's Choice,Multigrain Flatbread,President's ChoiceMultigrain Flatbread300 g,$2.49ea,$0.83/ 100g
bakery,,Panini Roll 2 Pack,Panini Roll 2 Pack107 g,$1.59ea,$1.49/ 100g
bakery,,"Strawberry Rhubarb Pie, 8 Inch","Strawberry Rhubarb Pie, 8 Inch680 g",$5.99ea,$0.88/ 100g
bakery,Old Mill,"12"" Thin Pizza Starter Kit","Old Mill12"" Thin Pizza Starter Kit700 g",$4.39ea,$0.63/ 100g
bakery,Create A Treat,Ez Build Gingerbread House Kit,Create A TreatEz Build Gingerbread House Kit1.01 kg,$12.99ea,$1.29/ 100g
bakery,Frontier Bakery,Lebanese Style White Pita,Frontier BakeryLebanese Style White Pita330 g,$1.39ea,$0.42/ 100g
bakery,ACE,Ciabatta Piccola ,ACECiabatta Piccola 800 g,$6.29ea,$0.79/ 100g
bakery,President's Choice,Gluten Free Hot Dog Buns,President's ChoiceGluten Free Hot Dog Buns65 g,$4.49ea,$1.73/ 100g
bakery,DItaliano,Sesame Seed Bread,DItalianoSesame Seed Bread675 g,$3.99ea,$0.59/ 100g
bakery,,"Bagel, Plain","Bagel, Plain113 g",$4.29ea,$3.80/ 100g
bakery,Promise Gluten Free,Brioche Loaf Authentic Brioche,Promise Gluten FreeBrioche Loaf Authentic Brioche400 g,$7.99ea,$2.00/ 100g
bakery,,"100% Whole Wheat Bread, Sliced","100% Whole Wheat Bread, Sliced450 g",$2.99ea,$0.66/ 100g
bakery,,Croissant 2 Pack,Croissant 2 Pack124 g,$1.59ea,$1.28/ 100g
bakery,School Safe,Muffin Bars Banana Chocolate Chip,School SafeMuffin Bars Banana Chocolate Chip296 g,$3.69ea,$1.25/ 100g
bakery,Rudolphs,Bavarian Rye Bread,RudolphsBavarian Rye Bread500 g,$4.29ea,$0.86/ 100g
bakery,President's Choice,Chocolate Chip Mini Muffins,President's ChoiceChocolate Chip Mini Muffins336 g,$5.69ea,$1.69/ 100g
bakery,,"Italian Bread, Multi-grain  Sliced","Italian Bread, Multi-grain  Sliced450 g",$3.49ea,$0.78/ 100g
bakery,Farmer's Market,Chocolate Cake,Farmer's MarketChocolate Cake850 g,$15.99ea,$1.88/ 100g
bakery,President's Choice,Gluten Free Hamburger Buns,President's ChoiceGluten Free Hamburger Buns80 g,$4.49ea,$1.40/ 100g
bakery,President's Choice,Garlic Naan ,President's ChoiceGarlic Naan 250 g,$3.29ea,$1.32/ 100g
bakery,,King’s Hawaiian Sweet Rolls ,King’s Hawaiian Sweet Rolls 0.34 kg,$4.49ea,$1.32/ 100g
bakery,,Maple Pecan Braided Danish,Maple Pecan Braided Danish300 g,$4.99ea,$1.66/ 100g
bakery,Kuchenmeister,Marzipan Stollen in Box,KuchenmeisterMarzipan Stollen in Box750 g,$14.99ea,$2.00/ 100g
bakery,Create A Treat,Gingerbread Family Cookie Kit,Create A TreatGingerbread Family Cookie Kit1 kg,$7.99ea,$1.45/ 100g
bakery,Rubschlager,Sesame Multigrain Loaf,RubschlagerSesame Multigrain Loaf454 g,$2.89ea,$0.64/ 100g
bakery,President's Choice,Traditional Naan Dippers Flatbreads Club Pack,President's ChoiceTraditional Naan Dippers Flatbreads Club Pack400 g,$5.99ea,$1.50/ 100g
bakery,President's Choice,Brioche Mini Rolls,President's ChoiceBrioche Mini Rolls400 g,$5.49ea,$1.37/ 100g
bakery,Suraj,Naan Garlic 5 Flatbreads,SurajNaan Garlic 5 Flatbreads500 g,$3.79ea,$0.76/ 100g
