category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale,sale_valid_to
produce,,Romaine Hearts,Romaine Hearts6 pack,$9.99ea,,$1.67/ 1ea,False,
produce,POM Wonderful,100% Pomegranate Juice,POM Wonderful100% Pomegranate Juice1.4 l,$14.99ea,,$1.07/ 100ml,False,
produce,President's Choice,Salad Kit Chopped Sesame Wonton ,President's ChoiceSalad Kit Chopped Sesame Wonton 347 g,$6.99ea,,$2.01/ 100g,False,
produce,PC Organics,Rose Spring Salad Mix,PC OrganicsRose Spring Salad Mix142 g,$5.99ea,,$4.22/ 100g,False,
produce,Marzetti,"Veggie Dip, Ranch","MarzettiVeggie Dip, Ranch340 g",$5.99ea,,$1.76/ 100g,False,
produce,President's Choice,Broccoli Slaw,President's ChoiceBroccoli Slaw340 g,$4.49ea,,$1.32/ 100g,False,
produce,GoodLeaf,Micro Arugula,GoodLeafMicro Arugula50 g,$4.49ea,,$8.98/ 100g,False,
produce,Fresh Attitude,Caesar Salad with Toppings Single Sized,Fresh AttitudeCaesar Salad with Toppings Single Sized175 g,$5.99ea,,$3.42/ 100g,False,
produce,PC Organics,Organics Baby Spinach,PC OrganicsOrganics Baby Spinach142 g,$5.99ea,,$4.22/ 100g,False,
produce,President's Choice,Vegetable Medley,President's ChoiceVegetable Medley340 g,$5.49ea,,$1.61/ 100g,False,
produce,,Black Plums,Black Plums,$0.99(est.)ea,,$9.90/ 1kg,False,
produce,,Snack  Platter,Snack  Platter380 g,$8.00ea,,$2.11/ 100g,False,
produce,GoodLeaf,Good Leaf Baby Arugula,GoodLeafGood Leaf Baby Arugula142 g,$6.49ea,,$4.57/ 100g,False,
produce,Bolthouse,Green Goodness,BolthouseGreen Goodness450 ml,$5.49ea,,$1.22/ 100ml,False,
produce,,Rutabaga,Rutabaga,$5.58(est.)ea,,$3.51/ 1kg,False,
produce,,Jazz Apples,Jazz Apples,$1.61(est.)ea,,$7.69/ 1kg,False,
produce,,"Fresh Apple, Lemon, Ginger, Turmeric Juice","Fresh Apple, Lemon, Ginger, Turmeric Juice473 ml",$7.00ea,,$1.48/ 100ml,False,
produce,7D,Dried Mangos,7DDried Mangos140 g,$9.99ea,,$7.14/ 100g,False,
produce,,Greek Yogurt Parfait,Greek Yogurt Parfait290 g,$5.00ea,,$1.72/ 100g,False,
produce,,Sweet Tango Apple,Sweet Tango Apple2 lb,$5.49ea,,$5.49/ 1ea,False,
produce,PC Organics,Organics Portobello Mushroom Caps,PC OrganicsOrganics Portobello Mushroom Caps240 g,$5.99ea,,$2.50/ 100g,False,
produce,PC Organics,Organic Cremini Mushrooms,PC OrganicsOrganic Cremini Mushrooms680 g,$8.99ea,,$1.32/ 100g,False,
produce,Well,Cold Pressed Juice Be Well  ,WellCold Pressed Juice Be Well  333 ml,$5.99ea,,$1.80/ 100ml,False,
produce,PC Organics,Organic Peppers,PC OrganicsOrganic Peppers2 pack,$6.99ea,,$3.50/ 1ea,False,
produce,Paramount,Pistachios No Shells Honey Roasted,ParamountPistachios No Shells Honey Roasted155 g,$8.99ea,,$5.80/ 100g,False,
produce,,Red Seedless Watermelon,Red Seedless Watermelon1 ea,$12.99ea,,$12.99/ 1ea,False,
produce,,Premium Garden Veg Romaine,Premium Garden Veg Romaine310 g,$9.00ea,,$2.90/ 100g,False,
produce,President's Choice,Anaheim Hot Peppers,President's ChoiceAnaheim Hot Peppers170 g,$5.99ea,,$3.52/ 100g,False,
produce,President's Choice,Mixed Nuts,President's ChoiceMixed Nuts0.454 kg,$6.99ea,,$1.54/ 100g,False,
produce,,Gold Cored Pineapple,Gold Cored Pineapple0.6 kg,$4.99ea,,$0.83/ 100g,False,
produce,PC Organics,Organics Whole Cremini Mushrooms,PC OrganicsOrganics Whole Cremini Mushrooms227 g,$3.69ea,,$1.63/ 100g,False,
produce,Greenhouse,Organic Shake Vanilla Almond Brekky,GreenhouseOrganic Shake Vanilla Almond Brekky300 ml,$7.99ea,,$2.66/ 100g,False,
produce,President's Choice,Oregano,President's ChoiceOregano28 g,$2.99ea,,,False,
produce,,Bard Valley Natural Delights Pitted Medjool Dates,Bard Valley Natural Delights Pitted Medjool Dates340 g,$10.99ea,,$3.23/ 100g,False,
produce,President's Choice,Bacon Caesar Chop Salad Kit,President's ChoiceBacon Caesar Chop Salad Kit326 g,$6.99ea,,$2.14/ 100g,False,
produce,,"Wonderful Pistachios, Shelled","Wonderful Pistachios, Shelled170 g",$8.99ea,,$5.29/ 100g,False,
produce,,Pineapple Cubed Large,Pineapple Cubed Large1 kg,$10.00ea,,$1.29/ 100g,False,
produce,Greenhouse,Ginger Tumeric Kombucha,GreenhouseGinger Tumeric Kombucha340 ml,$4.99ea,,$1.47/ 100ml,False,
produce,PC Organics,Organic Beefsteak Red Tomato,PC OrganicsOrganic Beefsteak Red Tomato,$3.57(est.)ea,,$13.21/ 1kg,False,
produce,PC Blue Menu,Blue Menu Unsalted Virginia Peanuts,PC Blue MenuBlue Menu Unsalted Virginia Peanuts454 g,$3.99ea,,$0.88/ 100g,False,
produce,President's Choice,"Live Lettuce Red/Green, 2-pack","President's ChoiceLive Lettuce Red/Green, 2-pack1 ea",$5.99ea,,$5.99/ 1ea,False,
produce,,Small Cubed Cantaloupe,Small Cubed Cantaloupe300 g,$6.00ea,,$2.00/ 100g,False,
produce,Greenhouse, Fiery Ginger,Greenhouse Fiery Ginger60 ml,$3.99ea,,$6.65/ 100ml,False,
produce,,Organic Grape Tomatoes,Organic Grape Tomatoes680 g,$10.99ea,,$1.62/ 100g,False,
produce,President's Choice,Green Thai Hot Peppers,President's ChoiceGreen Thai Hot Peppers75 g,$5.99ea,,$7.99/ 100g,False,
produce,Greenhouse,"Raw, Organic Juice Farma-C","GreenhouseRaw, Organic Juice Farma-C300 ml",$7.99ea,,$2.66/ 100ml,False,
produce,,Mini Greek Salad,Mini Greek Salad155 g,$5.00ea,,$3.23/ 100g,False,
produce,Aurora,Sundried Tomatoes,AuroraSundried Tomatoes85 g,$2.99ea,,$3.32/ 100g,False,
produce,,Jazz Apples,Jazz Apples,$1.61(est.)ea,,$7.69/ 1kg,False,
produce,,Small Cubed Cantaloupe,Small Cubed Cantaloupe300 g,$6.00ea,,$2.00/ 100g,False,
produce,Bolthouse,Amazing Mango,BolthouseAmazing Mango946 ml,$6.99ea,,$0.74/ 100ml,False,
produce,,Premium Garden Veg Romaine,Premium Garden Veg Romaine310 g,$9.00ea,,$2.90/ 100g,False,
produce,President's Choice,Anaheim Hot Peppers,President's ChoiceAnaheim Hot Peppers170 g,$5.99ea,,$3.52/ 100g,False,
produce,President's Choice,Mixed Nuts,President's ChoiceMixed Nuts0.454 kg,$6.99ea,,$1.54/ 100g,False,
produce,President's Choice,Finger Hot Hot Peppers,President's ChoiceFinger Hot Hot Peppers226 g,$5.99ea,,$2.65/ 100g,False,
produce,,Bard Valley Natural Delights Pitted Medjool Dates,Bard Valley Natural Delights Pitted Medjool Dates340 g,$10.99ea,,$3.23/ 100g,False,
produce,Farmer's Market,Cortland Apples,Farmer's MarketCortland Apples4 lb bag,$7.99ea,,$0.44/ 100g,False,
produce,President's Choice,Blsmic Vin Pouch 45Ml,President's ChoiceBlsmic Vin Pouch 45Ml45 ml,$0.49ea,,$1.09/ 100ml,False,
produce,Well,Cold Pressed Juice Be Well  ,WellCold Pressed Juice Be Well  333 ml,$5.99ea,,$1.80/ 100ml,False,
produce,,"Wonderful Pistachios, Shelled","Wonderful Pistachios, Shelled170 g",$8.99ea,,$5.29/ 100g,False,
produce,Paramount,Pistachios No Shells Honey Roasted,ParamountPistachios No Shells Honey Roasted155 g,$8.99ea,,$5.80/ 100g,False,
produce,7D,Dried Mangos,7DDried Mangos140 g,$9.99ea,,$7.14/ 100g,False,
produce,,Greek Yogurt Parfait,Greek Yogurt Parfait290 g,$5.00ea,,$1.72/ 100g,False,
produce,,Sweet Tango Apple,Sweet Tango Apple2 lb,$5.49ea,,$5.49/ 1ea,False,
produce,PC Organics,Organic Cremini Mushrooms,PC OrganicsOrganic Cremini Mushrooms680 g,$8.99ea,,$1.32/ 100g,False,
produce,PC Organics,Organic Russet Potatoes,PC OrganicsOrganic Russet Potatoes3 lb bag,$4.99ea,,$0.37/ 100g,False,
produce,Farmer's Market,Mango Red 3Ct,Farmer's MarketMango Red 3Ct3 ea,$5.49ea,,$1.83/ 1ea,False,
produce,President's Choice,Bacon Caesar Chop Salad Kit,President's ChoiceBacon Caesar Chop Salad Kit326 g,$6.99ea,,$2.14/ 100g,False,
produce,PC Organics,Organic Peppers,PC OrganicsOrganic Peppers2 pack,$6.99ea,,$3.50/ 1ea,False,
produce,,Pineapple Cubed Large,Pineapple Cubed Large1 kg,$10.00ea,,$1.29/ 100g,False,
produce,PC Organics,Organics Portobello Mushroom Caps,PC OrganicsOrganics Portobello Mushroom Caps240 g,$5.99ea,,$2.50/ 100g,False,
produce,Greenhouse,Ginger Tumeric Kombucha,GreenhouseGinger Tumeric Kombucha340 ml,$4.99ea,,$1.47/ 100ml,False,
