category,product_name,price,per_unit_price
Dairy,"Corn Pepper Zucchini Red Pepper Kebab, 4 pack884 g",$9.00ea,$1.02/ 100g
Dairy,Mixed Melon Cubed Large1 kg,$8.00ea,$1.48/ 100g
Dairy,"Halloom Pineapple Kebab, 4 pack804 g",$9.00ea,$1.12/ 100g
Dairy,PC OrganicsOrganic Lemons2 lb bag,$7.99ea,$0.88/ 100g
Dairy,President's ChoiceRed Potatoes5 lb bag,$5.99ea,$0.26/ 100g
Dairy,Pie Pumpkin1 ea,$1.99ea,$1.99/ 1ea
Dairy,LitehouseDip Organic Ranch283 g,$5.49ea,$1.94/ 100g
Dairy,PC OrganicsOrganic Lime1 lb bag,$6.99ea,$1.54/ 100g
Dairy,Gourmet GardenBasil Stir-In Paste115 g,$5.99ea,$5.21/ 100g
Dairy,Red Anjou Pears,$1.54(est.)ea,$6.59/ 1kg
Dairy,President's ChoiceFresh Poultry Herb Blend28 g,$2.50ea,
Dairy,Pineapple Cubed Small350 kg,$6.00ea,$0.60/ 100g
Dairy,Popeye Select Spinach1 kg,$11.99ea,$1.06/ 100g
Dairy,PC OrganicsOrganic Honeycrisp Apples,$2.77(est.)ea,$11.00/ 1kg
Dairy,Wholly GuacamoleChunky Bowl 213 g,$4.99ea,$2.34/ 100g
Dairy,Pineapple/Straws Large600 g,$8.00ea,$1.33/ 100g
Dairy,PC OrganicsBlack Seedless Grapes907 g,$9.99ea,$1.10/ 100g
Dairy,No NameNaturally Imperfect Limes907 g,$6.99ea,$0.77/ 100g
Dairy,Cortland Apples,$1.15(est.)ea,$5.49/ 1kg
Dairy,Mini Garden Cheddar Salad185 g,$5.00ea,$2.70/ 100g
Dairy,MarzettiCaramel Dip Snack6x340.0 g,$5.99ea,$12.48/ 100g
Dairy,Ornamental Gourds,$1.91(est.)ea,$3.95/ 1kg
Dairy,Brussels Sprouts,$0.26(est.)ea,$8.80/ 1kg
Dairy,"Southwestern Chicken Salad, Family Size1.47 kg",$16.00ea,$1.09/ 100g
Dairy,Premium Garden Vegetable With Cheese218 g,$8.00ea,$3.67/ 100g
Dairy,Baby Spinach,$7.05(est.)ea,$17.62/ 1kg
Dairy,PC OrganicsOrganic Lemons2 lb bag,$7.99ea,$0.88/ 100g
Dairy,Organic Italian Parsley Potted1 ea,$3.99ea,$3.99/ 1ea
Dairy,Farmer's MarketCarrot Chips454 g,$2.99ea,$0.66/ 100g
Dairy,Snow Peas200 g,$4.99ea,$2.50/ 100g
Dairy,Red Beets2 lb bag,$2.99ea,$0.33/ 100g
Dairy,The Little Potato CompanyOven BBQ Ready Onion Chive Potatoes454 g,$4.99ea,$1.10/ 100g
Dairy,President's ChoiceCrumbled Cauliflower340 g,$4.99ea,$1.47/ 100g
Dairy,GoodLeafPea Shoots50 g,$3.99ea,$7.98/ 100g
Dairy,Wholly GuacamoleChunky Bowl 213 g,$4.99ea,$2.34/ 100g
Dairy,PC OrganicsOrganic Field Greens & Baby Spinach - Salad Mix312 g,$7.99ea,$2.56/ 100g
Dairy,Roasted Corn & Pepper Quinoa,$9.20(est.)ea,$21.90/ 1kg
Dairy,President's ChoiceCaesar Salad Kit586 g,$6.99ea,$1.19/ 100g
Dairy,"Spinach, Kale, Celery Juice1 ea",$13.00ea,$13.00/ 1ea
Dairy,Blackberries 1 pint340 g,$7.99ea,$2.35/ 100g
Dairy,President's ChoiceWhite Potatoes5 lb bag,$5.49ea,$0.24/ 100g
Dairy,President's ChoiceNavel Oranges Cara Cara3 lb bag,$7.99ea,$0.59/ 100g
Dairy,Yellow Potatoes,$1.65(est.)ea,$5.49/ 1kg
Dairy,Organic Orange907 g,$6.99ea,$0.77/ 100g
Dairy,PC OrganicsOrganic Honeycrisp Apples,$2.77(est.)ea,$11.00/ 1kg
Dairy,Premium Baby Spinach With Fruit & Nuts296 g,$8.00ea,$2.70/ 100g
Dairy,Carrots & Snap Peas 250 g,$4.00ea,$1.60/ 100g
Dairy,No NameCarrots2270 g,$4.99ea,$0.22/ 100g
Dairy,Grilled Chicken Caesar Salad,$13.14(est.)ea,$21.90/ 1kg
Dairy,President's ChoiceAdora Seedless® Black Grapes,$6.01(est.)ea,$4.39/ 1kg
Dairy,Large House Salad658 g,$11.00ea,$1.67/ 100g
Dairy,President's ChoiceRed Potatoes5 lb bag,$5.99ea,$0.26/ 100g
Dairy,Brussels Sprouts,$0.26(est.)ea,$8.80/ 1kg
Dairy,Pie Pumpkin1 ea,$1.99ea,$1.99/ 1ea
Dairy,LitehouseDip Organic Ranch283 g,$5.49ea,$1.94/ 100g
Dairy,PC OrganicsOrganic Lime1 lb bag,$6.99ea,$1.54/ 100g
Dairy,Gourmet GardenBasil Stir-In Paste115 g,$5.99ea,$5.21/ 100g
Dairy,Pineapple/Straws Large600 g,$8.00ea,$1.33/ 100g
Dairy,Oyster Mushrooms,$0.72/25 g,$2.86/ 100g
Dairy,PC OrganicsOrganics Baby Spinach312 g,$7.99ea,$2.56/ 100g
Dairy,Yellow Asian Pears,$2.82(est.)ea,$8.80/ 1kg
Dairy,Eat SmartSweet Kale Salad Kit340 g,$6.49ea,$1.91/ 100g
Dairy,"Juice- Apple, Carrot, Beet & Lemon1 ea",$13.00ea,$13.00/ 1ea
Dairy,RemedyKombucha Wild Berry700 ml,$4.99ea,$0.71/ 100ml
Dairy,Turnips,$2.50(est.)ea,$6.59/ 1kg
Dairy,Cobb with Cheddar Salad Mini165 g,$5.00ea,$3.03/ 100g
Dairy,MarzettiCaramel Dip Snack6x340.0 g,$5.99ea,$12.48/ 100g
Dairy,Ornamental Gourds,$1.91(est.)ea,$3.95/ 1kg
Dairy,President's ChoiceCreamy Golden Potatoes900 g,$3.99ea,$0.44/ 100g
Dairy,Ataulfo Mango1 ea,$2.49ea,$2.49/ 1ea
Dairy,Pineapple1 ea,$2.99ea,$2.99/ 1ea
Dairy,POM Wonderful100% Pomegranate Juice473 ml,$5.99ea,$1.27/ 100ml
Dairy,"Decorative Corn, pack of 31 ea",$3.49ea,$3.49/ 1ea
Dairy,Bolthouse100% Carrot946 ml,$6.99ea,$0.74/ 100ml
Dairy,Honey Nut Squash,$3.34(est.)ea,$4.39/ 1kg
Dairy,BolthouseDaily Greens946 ml,$6.99ea,$0.74/ 100ml
Dairy,GreenhouseFiery Ginger Juice240 ml,$14.99ea,$6.25/ 100ml
Dairy,President's ChoicePoppyseed Pouch 44Ml44 ml,$0.59ea,$1.34/ 100ml
Dairy,Turmeric,$4.32(est.)ea,$30.84/ 1kg
Dairy,"Spinach, Bunched1 ea",$2.99ea,$2.99/ 1ea
Dairy,Love BeetsOrganic Cooked Beets250 ea,$5.99ea,$2.40/ 100g
Dairy,White Onion,$2.44(est.)ea,$6.59/ 1kg
Dairy,Romaine Lettuce1 ea,$2.99ea,$2.99/ 1ea
Dairy,PC OrganicsOrganic Axiany Tomato255 g,$4.99ea,$1.96/ 100g
Dairy,Carrots,$0.57(est.)ea,$4.39/ 1kg
Dairy,Leeks1 bunch,$4.99ea,$4.99/ 1ea
Dairy,Farmer's MarketEmpire Apples4 lb bag,$6.99ea,$0.39/ 100g
Dairy,Happy PlanetGo Nuts Chocolate Nut Milk900 ml,$6.99ea,$0.78/ 100ml
