category,brand,product,product_name,price,per_unit_price
bakery,Sara Lee,Party Cake Muffins ,Sara LeeParty Cake Muffins 234 g,$4.04ea,$1.73/ 100g
bakery,,"Italian Bread, Multi-grain  Sliced","Italian Bread, Multi-grain  Sliced450 g",$3.49ea,$0.78/ 100g
bakery,President's Choice,Gluten Free Hamburger Buns,President's ChoiceGluten Free Hamburger Buns80 g,$4.49ea,$1.40/ 100g
bakery,President's Choice,Garlic Naan ,President's ChoiceGarlic Naan 250 g,$3.29ea,$1.32/ 100g
bakery,,King’s Hawaiian Sweet Rolls ,King’s Hawaiian Sweet Rolls 0.34 kg,$4.49ea,$1.32/ 100g
bakery,,Maple Pecan Braided Danish,Maple Pecan Braided Danish300 g,$4.99ea,$1.66/ 100g
bakery,ACE,Ciabatta Lunga,ACECiabatta Lunga390 g,$2.99ea,$0.77/ 100g
bakery,School Safe,Brownie Bars ,School SafeBrownie Bars 296 g,$3.69ea,$1.25/ 100g
bakery,,White Chocolate Raspberry Cake,White Chocolate Raspberry Cake700 g,$12.99ea,$1.86/ 100g
bakery,Create A Treat,Gingerbread Family Cookie Kit,Create A TreatGingerbread Family Cookie Kit1 kg,$7.99ea,$1.45/ 100g
bakery,Schar,Ciabatta Rolls,ScharCiabatta Rolls200 g,$8.99ea,$4.50/ 100g
bakery,President's Choice,Traditional Naan Dippers Flatbreads Club Pack,President's ChoiceTraditional Naan Dippers Flatbreads Club Pack400 g,$5.99ea,$1.50/ 100g
bakery,Suraj,Naan Garlic 5 Flatbreads,SurajNaan Garlic 5 Flatbreads500 g,$3.79ea,$0.76/ 100g
bakery,LA FOURNEE DOREE, Chinois Brioche With Vanilla Cream,LA FOURNEE DOREE Chinois Brioche With Vanilla Cream500 g,$7.39ea,$1.48/ 100g
bakery,Dempster,Malt Bread,DempsterMalt Bread340 g,$4.99ea,$1.47/ 100g
bakery,Charlottes,"6"" Holiday Chocolate Fudge Cake","Charlottes6"" Holiday Chocolate Fudge Cake475 g",$5.00ea,$1.05/ 100g
bakery,,Croissant Plain Mini 10 Pack,Croissant Plain Mini 10 Pack300 g,$3.99ea,$1.33/ 100g
bakery,,Oatmeal Chocolate Chip Cookie 18Pk,Oatmeal Chocolate Chip Cookie 18Pk774 g,$6.99ea,$0.90/ 100g
bakery,DItaliano,Crustini Hamburger Buns,DItalianoCrustini Hamburger Buns568 g,$3.99ea,$0.70/ 100g
bakery,PC Blue Menu,White Whole Grain Thin Buns,PC Blue MenuWhite Whole Grain Thin Buns8x60.0 g,$3.79ea,$0.79/ 100g
bakery,,White Sliced Miche,White Sliced Miche800 g,$5.79ea,$0.72/ 100g
bakery,,"Red Velvet Cake 8""","Red Velvet Cake 8""1300 g",$29.99ea,$2.31/ 100g
bakery,,"White Bread, Unsliced","White Bread, Unsliced450 g",$2.99ea,$0.66/ 100g
bakery,Dempster,Parmesan Garlic & Herb Flavour Bagels,DempsterParmesan Garlic & Herb Flavour Bagels375 g,$4.19ea,$1.12/ 100g
bakery,Farmer's Market,Tuxedo Cake,Farmer's MarketTuxedo Cake753 g,$14.99ea,$1.99/ 100g
bakery,Country Harvest,Cranberry & Oats Bagel,Country HarvestCranberry & Oats Bagel450 g,$3.99ea,$0.89/ 100g
bakery,,Bagel Sesame 2 Pack,Bagel Sesame 2 Pack226 g,$1.49ea,$0.66/ 100g
bakery,President's Choice,Brandy Fruitcake,President's ChoiceBrandy Fruitcake524 g,$9.99ea,$1.91/ 100g
bakery,,Core 12 Grain Breads,Core 12 Grain Breads284 g,$3.89ea,$1.37/ 100g
bakery,,PC Multigrain Laiser 6S,PC Multigrain Laiser 6S400 g,$3.99ea,$1.00/ 100g
bakery,President's Choice,Vanilla Bark Cake,President's ChoiceVanilla Bark Cake690 g,$18.99ea,$2.75/ 100g
bakery,Schar,Artisan Bread,ScharArtisan Bread400 g,$8.99ea,$2.25/ 100g
bakery,Stonemill,Authentic Sourdough Rye Bread Bavarian Light,StonemillAuthentic Sourdough Rye Bread Bavarian Light550 g,$4.09ea,$0.74/ 100g
bakery,,PC Kaiser Crsty 12,PC Kaiser Crsty 12700 g,$5.29ea,$0.76/ 100g
bakery,,Chocolate Chip Cookie 18 Pk,Chocolate Chip Cookie 18 Pk774 g,$6.99ea,$0.90/ 100g
bakery,Farmer's Market,Oatmeal & Chocolate Cookies,Farmer's MarketOatmeal & Chocolate Cookies456 g,$5.99ea,$1.31/ 100g
bakery,,Flame-Baked Naan Cilantro & Roasted Garlic,Flame-Baked Naan Cilantro & Roasted Garlic400 g,$3.99ea,$1.00/ 100g
bakery,,Dutie Donuts 6 pack ,Dutie Donuts 6 pack 750 g,$7.99ea,$1.07/ 100g
bakery,La Rocca,Lemon Mousse Cake 6 inch,La RoccaLemon Mousse Cake 6 inch85 g,$21.99ea,$25.87/ 100g
bakery,,"Bagels, Everything 6 Pack","Bagels, Everything 6 Pack108 g",$4.29ea,$3.97/ 100g
bakery,Kimberley's Bakeshoppe,Holiday Ginger Frosted Cookies Pk 10,Kimberley's BakeshoppeHoliday Ginger Frosted Cookies Pk 10383 g,$4.99ea,$499.00/ 100g
bakery,,Raised Hawaiian Donuts 6 Pack,Raised Hawaiian Donuts 6 Pack600 g,$7.99ea,$1.33/ 100g
bakery,ACE,Classic Gourmet Burger Buns,ACEClassic Gourmet Burger Buns260 g,$3.99ea,$1.53/ 100g
bakery,Weight Watchers,100% Whole Wheat Loaf,Weight Watchers100% Whole Wheat Loaf450 g,$4.79ea,$1.06/ 100g
bakery,two-bite,Christmas Mini Cupcakes Chocolate Pack Of 12,two-biteChristmas Mini Cupcakes Chocolate Pack Of 12284 g,$4.99ea,$1.76/ 100g
bakery,,Chocolate Tpped Long John Donut 6 pack,Chocolate Tpped Long John Donut 6 pack780 g,$7.99ea,$1.02/ 100g
bakery,Promise Gluten Free,Brioche Loaf Authentic Brioche,Promise Gluten FreeBrioche Loaf Authentic Brioche400 g,$7.99ea,$2.00/ 100g
bakery,President's Choice,Gigantico Burger Buns ,President's ChoiceGigantico Burger Buns 8x71.0 g,$3.99ea,$0.70/ 100g
bakery,,"Italian Bread, Multi-grain  Sliced","Italian Bread, Multi-grain  Sliced450 g",$3.49ea,$0.78/ 100g
bakery,Sha Sha,Ginger Snaps,Sha ShaGinger Snaps300x300.0 g,$6.99ea,$2.33/ 100g
bakery,two-bite,"Christmas Mini Cupcakes Platter Pack 24, Chocolate And Vanilla Variety Pack","two-biteChristmas Mini Cupcakes Platter Pack 24, Chocolate And Vanilla Variety Pack568 g",$8.99ea,$1.58/ 100g
bakery,Farmer's Market,"Sliced Loaf Cake, Marble","Farmer's MarketSliced Loaf Cake, Marble420 g",$6.29ea,$1.50/ 100g
bakery,,"Chia Bread, Sliced","Chia Bread, Sliced450 g",$3.99ea,$0.89/ 100g
bakery,Farmer's Market,Berry Medley Muffins,Farmer's MarketBerry Medley Muffins570 g,$6.99ea,$1.23/ 100g
bakery,LA FOURNEE DOREE, Chinois Brioche With Vanilla Cream,LA FOURNEE DOREE Chinois Brioche With Vanilla Cream500 g,$7.39ea,$1.48/ 100g
bakery,Dimpflmeier,Pumpernickel Bread,DimpflmeierPumpernickel Bread454 g,$4.49ea,$0.99/ 100g
bakery,Country Harvest,Sourdough Loaf,Country HarvestSourdough Loaf650 g,$3.99ea,$0.61/ 100g
bakery,Vachon,Flaky Pastries Apple-Raspberry,VachonFlaky Pastries Apple-Raspberry305 g,$4.29ea,$1.41/ 100g
bakery,,"Chocolate Celebration Cake, 5 in","Chocolate Celebration Cake, 5 in0.66 kg",$12.99ea,$1.97/ 100g
bakery,ACE,Bocata Ronda ,ACEBocata Ronda 800 g,$6.29ea,$0.79/ 100g
bakery,Vachon,Brownies with Peanuts,VachonBrownies with Peanuts42 g,$4.29ea,$1.70/ 100g
bakery,ACE,"Oval, Harvest Grain","ACEOval, Harvest Grain454 g",$4.99ea,$1.10/ 100g
bakery,Casa Mendosa,Extra Large Burrito Tortillas,Casa MendosaExtra Large Burrito Tortillas630 g,$4.19ea,$0.67/ 100g
bakery,,"Black Forest Cake, 1/4 Slab *MINIMUM 24 HOURS NOTICED REQUIRED*","Black Forest Cake, 1/4 Slab *MINIMUM 24 HOURS NOTICED REQUIRED*1750 g",$34.99ea,$2.00/ 100g
