category,brand,product,product_name,price,per_unit_price
produce,President's Choice,Kale Slaw,President's ChoiceKale Slaw340 g,$2.99ea,$0.88/ 100g
produce,Paramount,Pistachios No Shells Roasted Light Salt,ParamountPistachios No Shells Roasted Light Salt170 g,$7.99ea,$4.70/ 100g
produce,,Yellow Yams,Yellow Yams,$4.40(est.)ea,$8.80/ 1kg
produce,President's Choice,Salted Virginia Peanuts,President's ChoiceSalted Virginia Peanuts454 g,$3.50ea,$0.77/ 100g
produce,,Fruit Trio Spears,Fruit Trio Spears595 g,$6.00ea,$1.01/ 100g
produce,,Green Peppers,Green Peppers1 ea,$2.99ea,$0.75/ 1ea
produce,,Sweet Nantes Carrots,Sweet Nantes Carrots467 g,$2.99ea,$0.64/ 100g
produce,,Romaine Lettuce,Romaine Lettuce1 ea,$4.99ea,$4.99/ 1ea
produce,,"Pears, Rocha","Pears, Rocha1.134 kg",$4.99ea,$0.44/ 100g
produce,,Leeks,Leeks1 bunch,$4.49ea,$4.49/ 1ea
produce,No Name,Naturally Imperfect Potatoes 15lb,No NameNaturally Imperfect Potatoes 15lb6804 g,$6.00ea,$0.09/ 100g
produce,,Jamaican Aloe,Jamaican Aloe,$1.74(est.)ea,$3.28/ 1kg
produce,PC Organics,Organic Lemons,PC OrganicsOrganic Lemons2 lb bag,$5.99ea,$0.66/ 100g
produce,POM Wonderful,100% Pomegranate Juice,POM Wonderful100% Pomegranate Juice473 ml,$5.99ea,$1.27/ 100ml
produce,,"Spinach, Bunched","Spinach, Bunched1 ea",$2.49ea,$2.49/ 1ea
produce,PC Organics,Organics Yellow Onions,PC OrganicsOrganics Yellow Onions2 lb bag,$3.49ea,$0.38/ 100g
produce,Paramount,No shell BBQ Pistachios,ParamountNo shell BBQ Pistachios155 g,$7.99ea,$5.15/ 100g
produce,PC Organics,Black Seedless Grapes,PC OrganicsBlack Seedless Grapes907 g,$6.99ea,$0.77/ 100g
produce,Farmer's Market,Red Delicious Apples,Farmer's MarketRed Delicious Apples4 lb bag,$5.99ea,$0.33/ 100g
produce,,"Mint, Fresh","Mint, Fresh1 bunch",$1.49ea,$1.49/ 1ea
produce,President's Choice,White Potatoes,President's ChoiceWhite Potatoes5 lb bag,$4.99ea,$0.22/ 100g
produce,,Guava,Guava,$4.40(est.)ea,$8.80/ 1kg
produce,President's Choice,Ambrosia Apples,President's ChoiceAmbrosia Apples,$0.97(est.)ea,$4.39/ 1kg
produce,President's Choice,Axiany Cherry Tomatoes,President's ChoiceAxiany Cherry Tomatoes0.225 kg,$4.00ea,$1.78/ 100g
produce,,Fennel,Fennel1 ea,$2.99ea,$2.99/ 1ea
produce,,Baby Napa,Baby Napa,$5.05/1 kg,$5.05/ 1kg
produce,,Figs Dried,Figs Dried200 g,$1.99ea,$1.00/ 100g
produce,PC Organics,Green Seedless Grapes,PC OrganicsGreen Seedless Grapes907 g,$6.99ea,$0.77/ 100g
produce,President's Choice,Baby Spinach,President's ChoiceBaby Spinach0.142 kg,$3.99ea,$2.81/ 100g
produce,President's Choice,Chipotle Chop Salad Kit,President's ChoiceChipotle Chop Salad Kit340 g,$5.49ea,$1.61/ 100g
produce,,Green House Beefsteak Tomatoes ,Green House Beefsteak Tomatoes 454 g,$4.00ea,$0.88/ 100g
produce,,Kale,Kale1 bunch,$2.49ea,$2.49/ 1ea
produce,,Acorn Squash,Acorn Squash,$1.83(est.)ea,$2.18/ 1kg
produce,,Radish,Radish454 g,$2.49ea,$0.55/ 100g
produce,,Red Potatoes,Red Potatoes,$1.14(est.)ea,$4.39/ 1kg
produce,PC Organics,Organic Ginger,PC OrganicsOrganic Ginger160 g,$2.99ea,$1.87/ 100g
produce,No Name,Naturally Imperfect White Mushrooms,No NameNaturally Imperfect White Mushrooms680 g,$4.00ea,$0.59/ 100g
produce,Farmer's Market,Navel Oranges,Farmer's MarketNavel Oranges3 lb bag,$5.49ea,$0.40/ 100g
produce,,Red Beets,Red Beets,$0.67(est.)ea,$3.51/ 1kg
produce,,Shiitake Mushrooms,Shiitake Mushrooms,$0.72/25 g,$2.86/ 100g
produce,,Beets,Beets10 lb,$6.99ea,$0.15/ 100g
produce,Manns,Snow Peas,MannsSnow Peas170 g,$3.99ea,$2.35/ 100g
produce,Marzetti,"Veggie Dip, Ranch Snack Pack","MarzettiVeggie Dip, Ranch Snack Pack43 g",$4.99ea,$11.60/ 100g
produce,No Name,Roasted Peanuts In Shell,No NameRoasted Peanuts In Shell2 kg,$9.00ea,$0.45/ 100g
produce,,Cremini Mushrooms,Cremini Mushrooms,$0.33(est.)ea,$1.10/ 100g
produce,President's Choice,Hazelnuts in Shell,President's ChoiceHazelnuts in Shell0.454 kg,$5.99ea,$1.32/ 100g
produce,PC Blue Menu,Unsalted California Pistachios ,PC Blue MenuUnsalted California Pistachios 225 g,$4.99ea,$2.22/ 100g
produce,,"Artichokes, Large","Artichokes, Large1 ea",$2.49ea,$2.49/ 1ea
produce,,Matchstick Carrots,Matchstick Carrots283 g,$1.99ea,$0.70/ 100g
produce,President's Choice,"Ready Veggie, Kale Blend","President's ChoiceReady Veggie, Kale Blend340 g",$3.99ea,$1.17/ 100g
