category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale
seafood,,"Malpeque Oysters, Medium","Malpeque Oysters, Medium40 g",$1.49ea,,$3.73/ 100g,False
seafood,President's Choice,Pacific White Shrimp Cooked Peeled Responsibly Farmed Jumbo ,President's ChoicePacific White Shrimp Cooked Peeled Responsibly Farmed Jumbo 400 g,$18.99ea,,$4.75/ 100g,False
seafood,PC Blue Menu,Atlantic Salmon Skinless Boneless Fillets,PC Blue MenuAtlantic Salmon Skinless Boneless Fillets280 g,$15.99ea,,$5.71/ 100g,False
seafood,,"Faroe Island Salmon Fillet, Tray Pack","Faroe Island Salmon Fillet, Tray Pack",$12.73(est.)ea,,$39.66/ 1kg,False
seafood,PC Organics,Organics Peeled Raw Black Tiger Shrimp,PC OrganicsOrganics Peeled Raw Black Tiger Shrimp300 g,$14.99ea,,$5.00/ 100g,False
seafood,President's Choice,Gluten Free Breaded Shrimp,President's ChoiceGluten Free Breaded Shrimp340 g,$11.99ea,,$3.53/ 100g,False
seafood,PC Organics,Organics Zipperback Raw Black Tiger Shrimp,PC OrganicsOrganics Zipperback Raw Black Tiger Shrimp300 g,$10.99ea,,$3.66/ 100g,False
seafood,,"Fresh Atlantic Salmon Fillets, Skin On, Marinated, Packaged","Fresh Atlantic Salmon Fillets, Skin On, Marinated, Packaged",$8.39(est.)ea,,$28.64/ 1kg,False
seafood,,Crab Cakes,Crab Cakes,$8.41(est.)ea,,$28.64/ 1kg,False
seafood,Aquastar,Rainbow Trout Boneless,AquastarRainbow Trout Boneless680 g,$16.99ea,,$2.50/ 100g,False
seafood,,Fresh Pickerel,Fresh Pickerel,$11.76(est.)ea,,$50.68/ 1kg,False
seafood,Toppits,Snow Crab Legs & Claw,ToppitsSnow Crab Legs & Claw500 g,$29.99ea,,$6.00/ 100g,False
seafood,,"Sea Scallops 25-35, Frozen","Sea Scallops 25-35, Frozen",$18.51(est.)ea,,$66.12/ 1kg,False
seafood,,"European Sea Bass, Whole","European Sea Bass, Whole",$21.50(est.)ea,,$28.64/ 1kg,False
