category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale,sale_valid_to
household_items,Downy,Fabric Enhancer Water,DownyFabric Enhancer Water570 g,$18.99ea,,$3.33/ 100g,False,
household_items,,Shout Triple-Acting Refill Laundry Stain Remover 946ml - Pack of 3,Shout Triple-Acting Refill Laundry Stain Remover 946ml - Pack of 3,$39.99ea,,,False,
household_items,Scotties,White Tissues Original 2 Ply,ScottiesWhite Tissues Original 2 Ply18 ea,$17.99ea,,$1.00/ 1ea,False,
household_items,Charmin,"Bathroom Tissues, 18=72","CharminBathroom Tissues, 18=7218 ea",$29.99ea,,$1.67/ 1ea,False,
household_items,No Name,All-Purpose Scouring Sponges,No NameAll-Purpose Scouring Sponges6 pack,$7.29ea,,$1.22/ 1ea,False,
household_items,,Leather Magic Leather & Vinyl Stain Remover 16 Ounce,Leather Magic Leather & Vinyl Stain Remover 16 Ounce,$22.00ea,,,False,
household_items,,Little Tree Air Freshener Summer Linen,Little Tree Air Freshener Summer Linen,$23.20ea,,,False,
household_items,Downy,Shea Blossom Laundry Detergent ,DownyShea Blossom Laundry Detergent 422 g,$12.99ea,,$3.08/ 100g,False,
household_items,Everyday Essentials,"Light Bulbs, A19 60W LED Daylight","Everyday EssentialsLight Bulbs, A19 60W LED Daylight2x1.0 ea",$8.49ea,,$4.25/ 1ea,False,
household_items,,Esteam Formula 888 Carpet Extraction Detergent 1 Gallon-Case of 4,Esteam Formula 888 Carpet Extraction Detergent 1 Gallon-Case of 4,$199.99ea,,,False,
household_items,,Instant Aid- Lens Cleaning Towelette (12 In 1 Pack) (Pack of 3) by Purest,Instant Aid- Lens Cleaning Towelette (12 In 1 Pack) (Pack of 3) by Purest,$30.97ea,,,False,
household_items,Lysol,"Disinfectant Spray, Crisp Linen","LysolDisinfectant Spray, Crisp Linen539 g",$8.99ea,$6.99ea,$1.30/ 100g,True,saleEnds 03/08
household_items,,UV-CORP EXTRA STRENGTH DISHWASHER DETERGENT BOOSTER 1kg,UV-CORP EXTRA STRENGTH DISHWASHER DETERGENT BOOSTER 1kg,$18.99ea,,,False,
household_items,Sylvania,"LED Dimmer Light Bulb 5W R20, 10 Year","SylvaniaLED Dimmer Light Bulb 5W R20, 10 Year2x1.0 ea",$17.49ea,,$8.75/ 1ea,False,
household_items,Lysol,Toilet Bowl Cleaner Power and Free,LysolToilet Bowl Cleaner Power and Free710 ml,$5.49ea,,$0.77/ 100ml,False,
household_items,Downy,"RINSE & REFRESH Laundry Odor Remover and Fabric Softener, Fresh Lavender, Safe on ALL Fabrics, Gentle on Skin, HE Compatible","DownyRINSE & REFRESH Laundry Odor Remover and Fabric Softener, Fresh Lavender, Safe on ALL Fabrics, Gentle on Skin, HE Compatible1.41 l",$18.99ea,,$1.35/ 100ml,False,
household_items,,Nellie's Laundry Soda Tin (100 Loads),Nellie's Laundry Soda Tin (100 Loads),$32.00ea,,,False,
household_items,Swiffer,WetJet Floor Mop Starter Kit,SwifferWetJet Floor Mop Starter Kit1 ea,$33.99ea,,$33.99/ 1ea,False,
household_items,Downy,"Ultra Liquid Fabric Conditioner (Fabric Softener) , Free & Gentle, 60 Loads","DownyUltra Liquid Fabric Conditioner (Fabric Softener) , Free & Gentle, 60 Loads1.53 l",$8.99ea,$4.99ea,$0.33/ 100ml,True,saleEnds 03/01
household_items,Swiffer,"Wet Jet Floor Mop, Open Window Scent, 12 Count","SwifferWet Jet Floor Mop, Open Window Scent, 12 Count12 ea",$12.99ea,$11.99ea,$1.00/ 1ea,True,saleEnds 03/01
household_items,Mr. Clean,"Liquid with Febreze, Meadows and Rain","Mr. CleanLiquid with Febreze, Meadows and Rain1.33 l",$4.79ea,$3.99ea,$0.30/ 100ml,True,saleEnds 03/01
household_items,,Core Hydroxipro Carpet Cleaning Polymer Gallon - 6 In 1 Cleaner,Core Hydroxipro Carpet Cleaning Polymer Gallon - 6 In 1 Cleaner,$49.00ea,,,False,
household_items,Sunlight,Standard Lemon Fresh,SunlightStandard Lemon Fresh1.2 l,$5.49ea,,$0.46/ 100ml,False,
household_items,,Sherbro Mixture Broom Head,Sherbro Mixture Broom Head,$46.05ea,,,False,
household_items,President's Choice,Max Tissue Roll,President's ChoiceMax Tissue Roll2 ea,$9.49ea,,$4.75/ 1ea,False,
household_items,,Little Tree Car Air Freshener Sun Berry,Little Tree Car Air Freshener Sun Berry,$23.20ea,,,False,
household_items,Sunlight,Dishwasher Detergent Advanced,SunlightDishwasher Detergent Advanced48 ea,$15.99ea,,$0.33/ 1ea,False,
household_items,No Name,Bleach,No NameBleach1.27 l,$2.99ea,,$0.24/ 100ml,False,
household_items,Air Wick,"Plug-in Air Freshener Scented Oil, Crisp Breeze, 2 Refills","Air WickPlug-in Air Freshener Scented Oil, Crisp Breeze, 2 Refills2x21.0 ml",$12.99ea,,$30.93/ 100ml,False,
household_items,,Karcher NT 68/1 Wet/Dry Vacuum #11034940,Karcher NT 68/1 Wet/Dry Vacuum #11034940,"$1,444.99ea",,,False,
household_items,,Johnny Vac JV403P 16Gal Wet/Dry Commercial Vacuum With Electrical Outlet For Powerhead,Johnny Vac JV403P 16Gal Wet/Dry Commercial Vacuum With Electrical Outlet For Powerhead,$878.99ea,,,False,
household_items,Swiffer,"WetJet Hardwood Floor Cleaner Spray Mop Pad Refill, Heavy Duty, 10 Count","SwifferWetJet Hardwood Floor Cleaner Spray Mop Pad Refill, Heavy Duty, 10 Count10 ea",$14.99ea,,$1.50/ 1ea,False,
household_items,,Karcher WVP10 Window Vacuum #16335510,Karcher WVP10 Window Vacuum #16335510,$292.00ea,,,False,
household_items,Mr. Clean,"Magic Eraser Bath with Febreze Lavender scent, Cleaning Pads with Durafoam","Mr. CleanMagic Eraser Bath with Febreze Lavender scent, Cleaning Pads with Durafoam2 ea",$4.49ea,$3.99ea,$2.00/ 1ea,True,saleEnds 03/01
household_items,,Aluminum Snow Shovel 22-26-32 Inch Retractable Spring Assisted Handle Snow Sand Mud Removal Tool to Build Snowman Clear Snow Car Outdoor Camping Garden Work,Aluminum Snow Shovel 22-26-32 Inch Retractable Spring Assisted Handle Snow Sand Mud Removal Tool to Build Snowman Clear Snow Car Outdoor Camping Garden Work,$26.99ea,,,False,
household_items,,Airstream AS200 Corded Lightweight Canister Vacuum Cleaner with HEPA Filtration & Accessories,Airstream AS200 Corded Lightweight Canister Vacuum Cleaner with HEPA Filtration & Accessories,$289.95ea,,,False,
household_items,Nature Clean,Rinse Agent,Nature CleanRinse Agent250 ml,$5.49ea,$4.49ea,$1.80/ 100ml,True,saleEnds 03/15
household_items,Downy,"Infusions Liquid Fabric Softener, Refresh, Birch Water & Botonicals","DownyInfusions Liquid Fabric Softener, Refresh, Birch Water & Botonicals0.946 l",$8.49ea,$4.99ea,$0.53/ 100ml,True,saleEnds 03/01
household_items,,CanaVac LS590 Signature Series Central Vacuum Cleaner | Tangential Bypass Motor Up To 5000 sq ft.| with the LS Deluxe Electric Package,CanaVac LS590 Signature Series Central Vacuum Cleaner | Tangential Bypass Motor Up To 5000 sq ft.| with the LS Deluxe Electric Package,$849.00ea,,,False,
household_items,Air Wick,"Plug-in Air Freshener, Scented Oil Refills, Island Paradise, 3 Refills","Air WickPlug-in Air Freshener, Scented Oil Refills, Island Paradise, 3 Refills3x20.0 ml",$17.99ea,,$29.98/ 100ml,False,
household_items,,TANN-X Coffee Stain Remover 1 Gallon,TANN-X Coffee Stain Remover 1 Gallon,$47.99ea,,,False,
household_items,Swiffer,Wet Jet Floor Cleaner Lavender,SwifferWet Jet Floor Cleaner Lavender1.25 l,$9.99ea,,$0.80/ 100ml,False,
household_items,Environmental Air Sponge,Environmental Air Sponge,Environmental Air SpongeEnvironmental Air Sponge227 g,$6.49ea,,$2.86/ 100g,False,
household_items,Sylvania,Indoor Outdoor B10 Bulbs Crystal Led Soft White 40 W,SylvaniaIndoor Outdoor B10 Bulbs Crystal Led Soft White 40 W2x1.0 ea,$19.98ea,,$9.99/ 1ea,False,
