,store,category,brand,product,price,per_unit_price,units
163,Walmart,flyer,L'Oréal,L'Oréal Paris Hair Expertise Shampoo or Conditioner,9.37,9.37,
164,Walmart,flyer,L'Oreal,"L'Oreal Paris Ever Pure, Hair Expertise Shampoo or Conditioner or Wonder Water",9.37,9.37,
165,Walmart,flyer,L'Oréal Paris,L'Oréal Paris Ever Pure Hair Expertise Shampoo,9.37,9.37,
166,Walmart,flyer,Crest,Crest GUM Toothpaste 110 mL,5.97,5.97,
167,Walmart,flyer,Colgate,Colgate MaxFresh 52 mL or Cavity Protection 95 mL Toothpaste,0.88,0.88,
168,Walmart,flyer,Vaseline,Vaseline Intensive Care Hand or Body Lotion,5.78,1.959322033898305,100ml
169,Walmart,flyer,Softsoap,Softsoap Hand Soap Refill,5.97,0.40612244897959177,100ml
170,Walmart,flyer,Softsoap,Softsoap Hand Soap Refill,5.97,0.40612244897959177,100ml
171,Walmart,flyer,Colgate,Colgate Cavity Protection 95 mL Toothpaste,0.88,0.88,
172,Walmart,flyer,,Dove Body Wash 354 mL,4.97,4.97,
173,Walmart,flyer,Dial,Dial Hand Soap Refills,4.97,0.3248366013071895,100ml
174,Walmart,flyer,Dial,Dial Hand Soap Refills,4.97,0.3248366013071895,100ml
175,Walmart,flyer,Neutrogena,Neutrogena Hydro Boost Gel Cream,18.47,18.47,
176,Walmart,flyer,Dove,"Dove Body Wash 354 mL, Men+Care 3 Bars or Body Wash 400 mL",4.97,4.97,
177,Walmart,flyer,Maybelline,Maybelline Volum' Express The Falsies Mascara,5.98,5.98,
178,Walmart,flyer,Garnier,Garnier Belle Color Hair Colour,12.0,6.0,
179,Walmart,flyer,Garnier,Garnier Belle Color Hair Colour,12.0,6.0,
180,Walmart,flyer,,CoverGirl Clean Fresh Skincare Serum,18.47,18.47,
181,Walmart,flyer,CoverGirl,CoverGirl Clean Fresh Skincare Serum,18.47,18.47,
182,Walmart,flyer,Equate,Equate Conditioner,3.97,3.97,
183,Walmart,flyer,Equate,Equate Moisture Shampoo,3.97,3.97,
184,Walmart,flyer,Equate,Equate Mouthwash,5.98,0.3986666666666667,100ml
185,Walmart,flyer,Equate,Equate Mouthwash,5.98,0.3986666666666667,100ml
186,Walmart,flyer,Equate,Equate Hand Soap,3.97,0.2406060606060606,100ml
187,Walmart,flyer,Equate,Equate Hand Soap,3.97,0.2406060606060606,100ml
188,Walmart,flyer,Equate,Equate Suncare,7.47,7.47,
189,Walmart,flyer,Equate,Equate Square,7.47,7.47,
190,Walmart,flyer,,Mastercard,,,
191,Walmart,flyer,onn,"onn 43"" 4K UHD HDR Roku Smart TV",328.0,328.0,
192,Walmart,flyer,onn.,"onn. 55"" 4K UHD HDR TV",498.0,498.0,
193,Walmart,flyer,HP,HP DeskJet 2723E All-in-One Printer,69.98,69.98,
194,Walmart,flyer,,Galaxy A53 Postpaid Phone,0.0,0.0,
195,Walmart,flyer,Moto G,Moto G Pure Prepaid Phone,169.0,169.0,
196,Walmart,flyer,Philips,Philips LED 60W A19 Bulbs 3-Pack,14.98,14.98,
197,Walmart,flyer,3M,3M Large Picture Hanging Strips Value Packs,11.77,11.77,
198,Walmart,flyer,3M Command,3M Command Medium Utility Hooks,11.77,11.77,
199,Walmart,flyer,Mobil 1,Mobil 1 Synthetic Motor Oil,34.97,0.739323467230444,100ml
200,Walmart,flyer,,Valvoline Synthetic Motor Oil,35.97,0.7194,100ml
201,Walmart,flyer,Serta,Serta Sertapedic So Calm! Lavender Knit Pillow,14.97,14.97,
