merchant,brand,name,description,current_price,pre_price_text,price_text,sku,flyer_valid_from,flyer_valid_to,image_url
FreshCo,,Old El Paso Kits 250-510 g or Salsa 650 mL,,4.0,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400025/c4244aa2-a31a-11ed-bff8-0e1ba86a8db4/x_large
FreshCo,,Mina Supreme Crunch Frozen 600-720g,,9.99,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400025/c4fd9834-a31a-11ed-bff8-0e1ba86a8db4/x_large
FreshCo,,Compliments Feta 400 g or Tre Stelle Cheese Wedge 200 g Selected Varieties,,7.99,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_items/286016774/1675792707/extra_large.jpg
FreshCo,,We Price Match,,,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_items/286280421/1675792713/extra_large.jpg
FreshCo,,Haagen-Dazs Novelties 3 pk,,3.99,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400024/c359e456-a31a-11ed-b8d5-0e1ba86a8db4/x_large
FreshCo,,Bubly 12x355 mL Montellier 10x355 mL,,4.99,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400024/c4181106-a31a-11ed-b8d5-0e1ba86a8db4/x_large
FreshCo,,Lay's Potato Chips 177-235g or Poppables 130g Smartfood 150-220g,,5.0,2/,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_items/286016414/1675792692/extra_large.jpg
FreshCo,,Grace Soda 355 mL Selected Varieties or Grace Peanut Punch 240 mL,,0.99,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400024/c62bea9e-a31a-11ed-b8d5-0e1ba86a8db4/x_large
FreshCo,,Ocean Spray Cocktail 1.89 L Mott's Clamato 1.89 L,,7.0,2/,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_items/286016416/1675792694/extra_large.jpg
FreshCo,,Quaker Cereal 325-500 g Selected Varieties,,2.99,,with Scene+ Card,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_items/286016418/1675792696/extra_large.jpg
